Sentences,Sentiment
Động thái này không nằm ngoài dự báo trước đó của giới phân tích,1
" Trong những phiên giao dịch tới, thị trường có thể sẽ có những phiên giao dịch tích lũy quanh ngưỡng 1,130”",0
"Nhà phân tích Craig Erlam của Oanda lưu ý rằng cả giá dầu Brent và WTI đều đã giao dịch trong vùng biên độ 10 USD/thùng kể từ đầu tháng 5. Giá dầu đang bị chi phối “bởi kỳ vọng lãi suất không ngừng biến đổi”, ông Erlam nói",0
" Vay nợ của Hancorp hiện đang ở mức 5.844 tỷ đồng, gấp 3,6 lần vốn chủ sở hữu. Hancorp mới bắt đầu có lãi từ quý 2 năm 2023 trong khi tính đến cuối quý 1/2023, lỗ lũy kế vẫn là 12,3 tỷ đồng.Tình hình kinh doanh đì đẹt của Hancorp. Báo cáo tài chính hợp nhất quý 2/2023 của CTCP Đầu tư Xây dựng Ricons (Ricons) ghi nhận lợi nhuận sau thuế nửa đầu năm nay đạt hơn 52 tỷ đồng, tăng 90% so cùng kỳ, vượt kế hoạch cả năm",0
"Trước đó, HAG công bố báo cái tài chính bán niên 2023 đã soát xét và bên kiểm toán đã có những nghi ngờ đáng kể về khả năng hoạt động liên tục của Tập đoàn",-1
"So với cùng kỳ năm ngoái, giá vàng hiện tăng 2,6%",1
" VN30 giảm sâu hơn chỉ số chính cũng do ngân hàng…Độ rộng đã xấu hơn đáng kể so với phiên sáng là bằng chứng rõ ràng nhất của mặt bằng giá đã kém đi. VN-Index kết phiên có tới 215 mã giảm/168 mã tăng, trong khi cuối phiên sáng thì ngược lại 191 mã tăng/141 mã giảm.Rổ VN30 rất yếu, thống kê có tới 21 mã tụt giá so với phiên sáng và chỉ 7 mã có cải thiện. Độ rộng còn 5 mã tăng/23 mã giảm và chỉ số đóng cửa giảm 0,61% so với tham chiếu",-1
" Nhu cầu tiêu dùng trong nước có phần chậm lại trước bối cảnh lạm phát tăng, lượng tiền gửi người dân tại các ngân hàng tăng cao, 4,3% so với cuối quý 2 bất chấp lãi suất huy động giảm về khoảng 5,9% cho kỳ hạn trên 6 tháng",-1
"Tuy vẫn còn đỏ, nhưng những mã lớn như VIC, VHM, VCB có tác động tích cực. VCB từ giá 92.200 đồng nhảu lên 93.500 đồng tức là tăng 1,4% ở đợt ATC. Đóng cửa VCB còn giảm 1,06% so với tham chiếu. VIC từ 52.800 đồng hồi lên 53.400 đồng, tức tăng 1,14%, chốt giảm 1,11% so với tham chiếu",1
" Trong 182 cổ phiếu còn tăng giá ở HoSE cuối ngày, 88 mã tăng trên 1%. Trong 234 mã giảm, 104 mã giảm trên 1%. Đà giảm áp đảo hoàn toàn ở nhóm blue-chips khi VN30-Index giảm 0,59% và chỉ 9 mã tăng/18 mã giảm.HoSE ghi nhận 28 cổ phiếu thanh khoản trên trăm tỷ phiên này thì số còn giữ được đà tăng chỉ có 8 mã",1
"Phản ánh kỳ vọng lãi suất cao hơn lâu hơn, lợi suất trái phiếu kho bạc Mỹ kỳ hạn 2 năm tăng lên mức cao nhất kể từ tháng 7/2006, trong khi lợi suất trái phiếu kho bạc Mỹ kỳ hạn 10 năm đạt mức cao nhất kể từ tháng 11/2007.Giá dầu thô Brent giao sau tại thị trường London giảm 0,86%, đóng cửa ở mức 93,53 USD/thùng",1
" Họ nói rằng nhu cầu đang là “một bức tranh hỗn hợp với nhu cầu xăng và nhiên liệu máy bay mạnh hơn, nhưng nhu cầu các sản phẩm hoá dầu và dầu diesel lại yếu hơn”.Cũng theo báo cáo của Citi, giá dầu thô Brent đã bứt phá lên một phạm vi cao hơn trong tháng này, sau khi bị mắc kẹt ở mức 72-78 USD/thùng vào tháng 5 và tháng 6, sau khi Saudi Arabia cắt giảm sản lượng và rủi ro địa chính trị đã hỗ trợ nhu cầu",1
" Đây là mức thanh khoản kỷ lục của cổ phiếu này tính theo giá trị khớp lệnh và giá cũng lên mức cao nhất 8 tháng. DXG, NVL, CII, PDR, HHV, KHD, VHM… cũng giao dịch rất lớn và giá hầu hết tăng tốt. Do cổ phiếu bất động sản tập trung rất nhiều trong rổ Midcap nên không có gì bất ngờ khi thanh khoản nhóm này tăng lên mức gần 8.537 tỷ đồng, chiếm 52,6% tổng khớp sàn HoSE, là tỷ trọng cao nhất từ giữa tháng 5/2023.Thanh khoản chung hai sàn niêm yết chiều nay cũng không quá đột biến, chỉ khớp thêm 9.371 tỷ đồng, tăng 7,4% so với phiên sáng",1
" Việc giảm tốc độ tăng lãi suất sẽ cho Fed có thời gian để nghiên cứu về hiệu ứng của các đợt tăng đã có.Nhiều nhà đầu tư tin rằng độ trễ là dài, với niềm tin như vậy, họ kỳ vọng Fed sẽ cắt giảm lãi suất trong năm nay và trong năm 2024, vì mức lãi suất hiện nay đã đủ để gây ra một cuộc suy thoái kinh tế Mỹ. Phản ánh kỳ vọng này, nhiều lãi suất do thị trường quyết định, bao gồm lãi suất cho vay thế chấp nhà, đã ngừng tăng hoặc thậm chí giảm cho dù Fed vẫn đang tăng lãi suất quỹ liên bang.Nhưng các chuyên gia kinh tế của ngân hàng Goldman Sachs cho rằng độ trễ là ngắn và nền kinh tế Mỹ đang chứng tỏ được khả năng trụ vững với lãi suất cao tốt hơn so với dự báo",1
" Nếu các trụ này chỉ cần quay lại tham chiếu, hôm nay hẳn sẽ là một ngày tăng bùng nổ hơn nữa đối với VN-Index.Độ rộng tổng thể của chỉ số cuối phiên là rất lớn, với 419 mã tăng/91 mã giảm. Trong đó, 135 mã tăng trên 2% và 70 mã khác tăng trong biên độ 1% tới 2%",-1
" Vào thời điểm đầu tháng 3, Các quỹ ETF nước ngoài dẫn đầu trong việc giải ngân vốn trị giá 73,0 triệu USD, các quỹ ETF trong nước cũng mua ròng trị giá 3,6 triệu USD. Trong đó, DCVFMVN30 ETF (3,4 triệu USD) dẫn đầu các quỹ nội, trong khi quỹ Xtrackers ETF (24,6 triệu USD) dẫn dắt nhóm quỹ ngoại.Tuy nhiên, những thông tin liên quan tới diễn biến bất lợi hơn kỳ vọng của thị trường trái phiếu bất động sản, Fed có thay đổi bất ngờ về kịch bản nâng lãi suất (dotplot) trong cuộc họp tháng 3 sau những diễn biến không mấy thuân lợi gần đây của lạm phát, và những kỳ vọng kém khả quan của kết quả kinh doanh Quý 1/2023, nếu tiêu cực hơn dự kiến, có thể khiến thị trường xuất hiện phiên wash-out quanh vùng 1.000 điểm trong bối cảnh thanh khoản ở mức thấp",-1
"Thông báo giao dịch cổ phiếu của người nội bộ Công ty Cổ phần Phát triển Bất động sản Phát Đạt (mã PDR-HOSE).Theo đó, ông Bùi Quang Anh Vũ - Tổng giám đốc PDR đăng ký bán ra 18,76 triệu cổ phiếu PDR nhằm tái cơ cấu danh mục đầu tư",-1
"Tuy nhiên, công ty được điều chỉnh giảm thuế thu nhập doanh nghiệp từ 34,6 tỷ đồng về còn gần 350 triệu đồng, do điều chỉnh giảm lợi nhuận.Kết quả, HBC báo lỗ sau thuế hợp nhất hơn 713 tỷ đồng sau kiểm toán tài chính bán niên 2023 - giảm 815 tỷ so với mức lãi gần 102 tỷ đồng ghi nhận tại báo cáo tự lập trước đó.Với mức lỗ này, lỗ lũy kế của Hòa Bình lên tới 2.812 tỷ đồng. Tại báo cáo kiểm toán nhấn mạnh, tập đoàn đang có các khoản nợ đã vay quá hạn trong đó có một số khoản vay đã được các ngân hàng đồng ý gia hạn",0
